jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/nifti-mrs/derivatives/jMRUIFiles/ses-01_mrs_sub-01_ses-01_SVS-ref.nii_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 1.666000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 2.972199E+08
MagneticField: 6.980763E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.00151376	0.00267682	0.00055829	0.00127561
0.00148355	0.00267908	0.00052623	0.00140213
0.00144731	0.00266974	0.00057754	0.00137075
0.00141952	0.00267535	0.00054512	0.00139946
0.00138437	0.00266647	0.00054479	0.00138617
0.00135339	0.00266485	0.00057364	0.00133971
0.00131756	0.00265285	0.00056849	0.00134505
0.00128591	0.00264835	0.00058213	0.00139319
0.00124970	0.00263353	0.00054598	0.00142307
0.00121983	0.00263111	0.00057608	0.00144425
0.00118876	0.00262542	0.00062715	0.00137935
0.00115914	0.00262223	0.00062484	0.00135344
0.00112657	0.00261150	0.00060765	0.00144147
0.00109672	0.00260620	0.00064481	0.00140214
0.00106331	0.00259144	0.00064271	0.00140246
0.00103455	0.00258702	0.00064095	0.00138546
0.00100235	0.00257307	0.00069814	0.00145915
0.00097493	0.00257047	0.00069425	0.00140194
0.00094501	0.00256048	0.00065748	0.00137670
0.00091612	0.00255229	0.00060243	0.00137990
0.00088690	0.00254222	0.00063369	0.00138253
0.00085882	0.00253444	0.00064837	0.00148435
0.00082844	0.00251873	0.00061448	0.00140774
0.00080018	0.00250821	0.00064815	0.00148207
0.00077150	0.00249524	0.00063507	0.00145279
0.00074427	0.00248577	0.00063557	0.00145622
0.00071662	0.00247379	0.00061189	0.00141940
0.00069033	0.00246539	0.00065261	0.00146270
0.00066306	0.00245232	0.00066385	0.00148140
0.00063706	0.00244272	0.00072360	0.00154162
0.00060971	0.00242658	0.00067358	0.00145647
0.00058457	0.00241793	0.00065246	0.00148541
0.00055858	0.00240442	0.00070851	0.00150144
0.00053442	0.00239756	0.00069060	0.00149104
0.00050832	0.00238061	0.00070482	0.00146856
0.00048366	0.00236876	0.00071915	0.00148878
0.00045855	0.00235306	0.00063057	0.00153357
0.00043447	0.00234088	0.00068250	0.00148120
0.00041051	0.00232769	0.00070074	0.00147373
0.00038673	0.00231374	0.00066820	0.00150780
0.00036361	0.00230196	0.00074372	0.00146120
0.00034151	0.00229516	0.00066431	0.00151193
0.00031827	0.00227891	0.00071407	0.00147926
0.00029589	0.00226656	0.00069464	0.00149544
0.00027309	0.00224848	0.00074704	0.00154394
0.00025092	0.00223274	0.00074255	0.00151864
0.00022914	0.00221761	0.00075842	0.00145794
0.00020774	0.00220320	0.00074252	0.00148260
0.00018672	0.00218983	0.00074836	0.00151980
0.00016609	0.00217805	0.00070892	0.00161295
0.00014530	0.00216021	0.00076893	0.00148641
0.00012514	0.00214732	0.00069872	0.00152075
0.00010503	0.00213039	0.00070414	0.00157070
0.00008535	0.00211610	0.00071724	0.00152687
0.00006584	0.00209878	0.00071809	0.00156727
0.00004681	0.00208849	0.00074911	0.00158096
0.00002789	0.00207165	0.00070272	0.00155756
0.00000929	0.00206049	0.00069497	0.00157471
-0.00000907	0.00204305	0.00079508	0.00161866
-0.00002711	0.00202417	0.00078486	0.00153814
-0.00004489	0.00200915	0.00077584	0.00158748
-0.00006242	0.00199406	0.00075574	0.00154576
-0.00007954	0.00197542	0.00075724	0.00162171
-0.00009673	0.00196490	0.00073605	0.00158452
-0.00011347	0.00194932	0.00075895	0.00158021
-0.00013007	0.00193580	0.00071349	0.00159603
-0.00014644	0.00192204	0.00077537	0.00157770
-0.00016208	0.00190235	0.00075216	0.00157589
-0.00017740	0.00188285	0.00075899	0.00156662
-0.00019287	0.00186788	0.00079789	0.00158417
-0.00020770	0.00184932	0.00069632	0.00165277
-0.00022278	0.00183533	0.00079413	0.00151971
-0.00023768	0.00182165	0.00078346	0.00154654
-0.00025196	0.00180498	0.00073005	0.00158863
-0.00026577	0.00178695	0.00079859	0.00155307
-0.00027983	0.00177234	0.00077746	0.00161076
-0.00029275	0.00175225	0.00075117	0.00161825
-0.00030696	0.00174125	0.00081314	0.00165904
-0.00032013	0.00172548	0.00071627	0.00164225
-0.00033326	0.00171076	0.00080561	0.00159940
-0.00034579	0.00169414	0.00075078	0.00167885
-0.00035839	0.00167905	0.00083808	0.00168759
-0.00036956	0.00165852	0.00081406	0.00166399
-0.00038127	0.00164168	0.00077311	0.00162002
-0.00039217	0.00162259	0.00075155	0.00159052
-0.00040338	0.00160589	0.00075990	0.00165296
-0.00041430	0.00158905	0.00081183	0.00167803
-0.00042658	0.00157814	0.00082999	0.00167555
-0.00043658	0.00155958	0.00081495	0.00166363
-0.00044801	0.00154695	0.00078542	0.00165698
-0.00045676	0.00152592	0.00080384	0.00166885
-0.00046795	0.00151384	0.00078072	0.00169156
