jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/nifti-mrs/derivatives/jMRUIFiles/ses-01_mrs_sub-01_ses-01_SVS.nii_jMRUI_A.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 1.666000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 2.972199E+08
MagneticField: 6.980763E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.00000258	-0.00000055	0.00000453	0.00002350
0.00000153	-0.00000195	0.00000388	0.00002648
0.00000056	-0.00000206	-0.00000746	0.00002043
-0.00000099	-0.00000184	0.00001409	0.00002030
-0.00000128	-0.00000079	0.00000674	0.00001525
-0.00000112	-0.00000018	0.00001493	0.00001824
-0.00000040	-0.00000005	0.00001974	0.00001220
-0.00000026	-0.00000047	0.00001865	0.00002587
-0.00000064	-0.00000084	0.00000694	0.00002413
-0.00000162	-0.00000046	0.00001190	0.00001792
-0.00000200	0.00000085	0.00001097	0.00001196
-0.00000140	0.00000204	0.00001042	0.00001502
-0.00000019	0.00000273	0.00000592	0.00001833
0.00000122	0.00000213	0.00001261	0.00001736
0.00000244	0.00000116	0.00000278	0.00002571
0.00000260	-0.00000067	0.00001299	0.00002155
0.00000136	-0.00000191	0.00001472	0.00001597
-0.00000021	-0.00000234	0.00001974	0.00001812
-0.00000154	-0.00000119	0.00001035	0.00002393
-0.00000208	-0.00000017	0.00002107	0.00001603
-0.00000160	0.00000127	0.00001433	0.00002198
-0.00000014	0.00000194	-0.00000056	0.00001819
0.00000103	0.00000144	0.00001143	0.00001718
0.00000164	0.00000047	0.00001951	0.00002201
0.00000116	-0.00000045	0.00001016	0.00002011
0.00000052	-0.00000083	0.00001857	0.00002056
0.00000012	-0.00000053	0.00001840	0.00002799
0.00000036	-0.00000010	0.00000320	0.00000678
0.00000053	-0.00000034	0.00001315	0.00003014
0.00000068	-0.00000063	0.00000900	0.00002736
0.00000047	-0.00000120	0.00000631	0.00001563
-0.00000026	-0.00000214	0.00003789	0.00001706
-0.00000154	-0.00000155	0.00000803	0.00002287
-0.00000216	-0.00000095	-0.00000182	0.00002280
-0.00000220	0.00000056	0.00001565	0.00002714
-0.00000172	0.00000154	0.00001722	0.00002329
-0.00000068	0.00000206	0.00000832	0.00003824
0.00000078	0.00000176	0.00001626	0.00001928
0.00000158	0.00000067	0.00000120	0.00002349
0.00000111	-0.00000033	0.00000391	0.00001661
0.00000017	-0.00000103	-0.00000086	0.00001408
-0.00000047	-0.00000052	0.00000870	0.00002522
-0.00000082	0.00000029	0.00001455	0.00001688
-0.00000044	0.00000111	0.00001385	0.00002599
0.00000033	0.00000085	0.00000989	0.00002462
0.00000094	0.00000041	0.00000130	0.00002598
0.00000097	0.00000060	0.00000539	0.00002743
0.00000051	-0.00000018	0.00001125	0.00002737
0.00000039	-0.00000013	0.00000638	0.00001488
-0.00000007	0.00000008	0.00000332	0.00002624
0.00000011	0.00000013	0.00001613	0.00002407
0.00000066	-0.00000014	0.00000999	0.00001604
0.00000106	-0.00000023	0.00001022	0.00001496
0.00000070	-0.00000101	0.00000955	0.00001803
0.00000019	-0.00000148	0.00000976	0.00001504
-0.00000037	-0.00000121	0.00002754	0.00002628
-0.00000102	-0.00000063	0.00001078	0.00001613
-0.00000135	0.00000023	0.00000255	0.00001967
-0.00000066	0.00000069	0.00001072	0.00002231
