jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/sdat/UnEdited/derivatives/jMRUIFiles/mrs_sub-02_ses-01_press-ref_sub-02_PRESS_35_ref_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 1.277507E+08
MagneticField: 3.000462E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
7.99772222	-0.00000000	0.18218825	0.01074434
14.72164603	-0.00564568	0.19426373	0.02131904
13.83311140	-0.01060987	0.19642698	0.03117934
13.69150792	-0.01575189	0.22565032	0.03016218
13.58243707	-0.02083521	0.23660231	0.07135728
13.49028650	-0.02586733	0.20954975	0.08721556
13.38416263	-0.03079663	0.18879115	0.10931495
13.27091647	-0.03562541	0.19808341	0.08012675
13.14869464	-0.04033982	0.22264527	0.10944976
13.03737314	-0.04499811	0.21823143	0.12339692
12.93255646	-0.04959598	0.22351312	0.17645596
12.83517728	-0.05414484	0.21399414	0.14138071
12.73104914	-0.05858797	0.22288218	0.17834755
12.61744414	-0.06290400	0.21474517	0.19497719
12.48944806	-0.06705565	0.21491774	0.21715004
12.37632189	-0.07119469	0.21973288	0.17760975
12.26579041	-0.07526289	0.19746334	0.23070004
12.16725842	-0.07932457	0.22582346	0.23897913
12.06495903	-0.08328469	0.22596430	0.25908907
11.95140021	-0.08708433	0.20258561	0.26614712
11.82785909	-0.09072032	0.23645548	0.29606643
11.70702338	-0.09428337	0.22419123	0.30627836
11.58775841	-0.09776701	0.24220245	0.29150270
11.47838566	-0.10124646	0.24028541	0.33340444
11.36861685	-0.10463839	0.22246159	0.32566899
11.24994646	-0.10786082	0.24724081	0.33432000
11.12808992	-0.11096047	0.25559360	0.37584784
11.01262365	-0.11403286	0.23663854	0.36119148
10.90768477	-0.11712975	0.20810693	0.36247097
10.80323160	-0.12015159	0.24423318	0.39568258
10.68794341	-0.12296867	0.24518331	0.43732933
10.56504088	-0.12560683	0.23150788	0.42426090
10.44417595	-0.12817576	0.24763817	0.44071590
10.33475581	-0.13079685	0.23277597	0.46622144
10.22748954	-0.13336212	0.24364432	0.46875596
10.11413343	-0.13576341	0.24324057	0.48913066
10.00160122	-0.13808915	0.21914889	0.47333728
9.89240013	-0.14037587	0.23979247	0.49975749
9.77761437	-0.14249748	0.24239384	0.52160747
