jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/sdat/UnEdited/derivatives/jMRUIFiles/mrs_sub-02_ses-01_press_sub-02_PRESS_35_act_jMRUI_A.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 1.277507E+08
MagneticField: 3.000462E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.05214110	-0.00390539	0.00659636	-0.00538218
0.06158032	-0.02601017	0.01152405	-0.00276942
-0.00250570	-0.03989025	-0.01279958	0.00369434
-0.02727257	-0.02376399	-0.01020126	-0.00484950
-0.02215152	-0.00263771	0.00134310	-0.00382491
-0.00611991	0.00407140	0.00330004	0.00385037
0.00009297	-0.00185786	-0.00914510	-0.00051455
-0.00593502	-0.00747919	-0.01106499	-0.00080293
-0.01502925	-0.00641530	-0.00706722	0.00844839
-0.01721585	0.00462396	0.00022306	0.00191987
-0.00997793	0.01482371	-0.00148910	0.00235265
0.00247602	0.01415719	-0.00821656	-0.01065463
0.00837205	0.00402907	0.00600511	0.00048080
0.00437509	-0.00519798	0.00184936	0.01055048
-0.00524089	-0.00471841	0.00089810	-0.00373320
-0.00945593	0.00536921	0.00538878	-0.00830914
-0.00499192	0.01302090	-0.00143077	-0.00138816
0.00621797	0.01256392	0.00348515	0.00277790
0.01366595	0.00358187	0.00494598	0.00560522
0.01276304	-0.00543792	-0.00283086	0.00795320
0.00555342	-0.00924795	-0.00201735	0.00275056
-0.00110717	-0.00697465	0.00455572	0.01099703
-0.00281999	-0.00341436	0.00140607	0.01187705
-0.00003577	-0.00329103	-0.00541442	0.00619953
0.00089985	-0.00605446	0.00662784	0.01023187
-0.00335239	-0.00741859	-0.00179831	0.00209202
-0.00986789	-0.00184842	-0.00255620	0.00182377
-0.00857985	0.00698612	-0.01231271	0.00571024
0.00149126	0.00838015	-0.00813541	0.00761663
0.00910984	0.00052684	0.00225810	0.00602027
0.00609791	-0.00755684	0.00011887	0.00788092
-0.00385591	-0.00801937	0.00325634	-0.00332538
-0.00863900	-0.00097424	-0.01531115	0.00987233
-0.00559902	0.00425015	0.01208470	0.00447432
-0.00068057	0.00548078	-0.01079034	0.00948925
0.00309581	0.00375972	-0.00160169	0.01146577
0.00390315	0.00116272	0.00184761	-0.00481183
0.00055454	-0.00150858	-0.01250781	0.00329934
-0.00306209	-0.00016079	-0.01000792	0.01046637
-0.00218682	0.00455233	0.00767176	0.00747709
0.00466675	0.00681970	-0.00926012	0.01230386
0.00994290	0.00064770	-0.01222816	0.00006122
0.00622937	-0.00716457	0.00194393	0.00127223
-0.00244914	-0.00729432	-0.00206481	0.01091452
-0.00607595	-0.00044249	-0.00003668	0.00537861
-0.00065410	0.00544347	-0.00171848	0.00005522
0.00628164	0.00268004	-0.00328270	0.00739277
0.00744641	-0.00468107	-0.00064250	0.00674542
0.00125772	-0.00950049	-0.00070393	0.01406295
-0.00620779	-0.00768462	-0.00053870	0.00185724
-0.00881982	-0.00080031	-0.00970840	0.00829322
-0.00616881	0.00571306	0.00834721	0.01189332
0.00021225	0.00713699	0.00120783	-0.00582814
0.00489700	0.00299717	0.00299618	0.01889255
0.00400650	-0.00264481	0.00440552	0.01146938
-0.00065825	-0.00299537	0.00212178	0.02515795
-0.00242601	0.00112204	-0.00731282	0.02070576
0.00092572	0.00402652	0.00788798	0.01953906
0.00460632	0.00071126	-0.01466176	0.01407575
0.00337926	-0.00434627	-0.00321769	0.01693683
-0.00117941	-0.00508484	-0.00409729	0.00297433
-0.00478673	-0.00090506	0.00084695	0.01471722
-0.00377567	0.00476747	-0.01226233	0.01013698
0.00116514	0.00727619	-0.00248471	0.00524227
0.00637106	0.00430860	0.00188642	0.00488426
0.00824393	-0.00133557	0.00219870	0.02023758
0.00518364	-0.00658220	0.00292600	0.01937670
-0.00032066	-0.00719530	0.00116656	0.01156029
-0.00412368	-0.00347732	0.01881431	0.01441341
-0.00344546	0.00040000	0.00296046	0.00647832
-0.00091342	0.00111986	-0.00502706	0.00769200
-0.00103302	-0.00064188	-0.00200438	0.00138949
-0.00337301	-0.00067319	0.00698496	0.01283922
-0.00407138	0.00337344	-0.00248910	0.02360792
-0.00097171	0.00665103	-0.00214994	0.01599694
0.00461355	0.00531278	-0.00285239	0.00759356
0.00697025	-0.00020513	0.01091258	0.01365754
0.00349351	-0.00495654	0.00189929	0.01639234
-0.00284484	-0.00557937	-0.00151559	0.00150478
-0.00631037	-0.00077622	-0.00460101	0.01667411
-0.00466650	0.00534350	0.00114864	0.02010153
0.00089190	0.00752692	-0.00132935	0.00383023
0.00582623	0.00441032	0.00037218	0.00071337
0.00606021	-0.00067442	0.00456324	0.01178413
0.00328752	-0.00352254	0.00115869	0.00726491
0.00095301	-0.00265318	0.00809990	0.01141551
0.00083715	-0.00139544	0.00357788	0.01303735
0.00178645	-0.00265189	-0.00838979	0.01775267
0.00027860	-0.00485655	0.00582004	0.00637149
-0.00307747	-0.00516286	0.00407050	-0.00279908
-0.00696534	-0.00228693	0.00356181	0.02177042
-0.00716510	0.00300398	-0.00950247	0.01026143
-0.00323315	0.00683840	-0.00147550	0.00588190
0.00180979	0.00650412	0.00171115	0.01726666
0.00431962	0.00223800	-0.00249391	0.01872406
0.00304018	-0.00149867	-0.01536495	0.02741427
-0.00082412	-0.00188841	-0.00843781	0.01166634
-0.00201676	0.00050443	-0.00680355	0.00177257
-0.00009599	0.00245114	-0.00402514	0.02845987
0.00155271	0.00114613	-0.00025558	0.00694076
0.00141778	-0.00113372	-0.00113421	0.02418005
-0.00130082	-0.00155917	0.00626362	0.01369158
-0.00293098	0.00085792	-0.00689465	0.01059586
-0.00096724	0.00378935	0.00512041	0.00026466
0.00279152	0.00415861	0.00568300	0.00561623
0.00542931	-0.00009464	0.00279576	0.01781231
0.00434409	-0.00471440	0.00165549	0.01945684
-0.00007997	-0.00705182	-0.01247049	0.01317819
-0.00461935	-0.00467556	0.00171213	0.01642234
-0.00589193	0.00004803	0.00484681	0.01418755
-0.00322241	0.00286937	-0.01028320	0.02466467
0.00004878	0.00285411	0.00713454	0.01609951
0.00122136	0.00028423	-0.00482406	0.00861127
-0.00024120	-0.00125294	-0.01346903	0.01435467
-0.00190586	-0.00051181	-0.01134542	0.00684736
-0.00182081	0.00151271	0.00271030	0.01191102
-0.00033984	0.00211556	0.00028600	0.01702864
0.00095028	0.00056001	0.00472302	0.00929898
0.00016402	-0.00107660	-0.00240730	0.01662902
-0.00172292	-0.00005031	0.00276367	0.02146759
-0.00200372	0.00227242	0.00245464	0.01026916
0.00033866	0.00389092	0.00382703	0.01398527
0.00370927	0.00271168	0.00358816	0.01655671
0.00424329	-0.00082989	0.01353143	0.02313302
0.00241479	-0.00412808	-0.00123182	0.02653754
-0.00092507	-0.00400900	-0.00144580	0.00545646
-0.00281880	-0.00125207	-0.00288926	0.02028771
-0.00145448	0.00094389	0.00009373	0.01559595
0.00078493	0.00096702	-0.00299351	0.01966503
0.00145399	-0.00121225	0.00070726	0.01350594
-0.00034199	-0.00289969	0.00585797	0.01374666
-0.00264927	-0.00194723	0.00115936	0.02628798
-0.00308173	0.00086014	-0.00152545	0.00505391
-0.00124769	0.00289030	-0.00267945	0.00987863
0.00150214	0.00192533	0.00456948	0.01539314
0.00172513	-0.00022836	0.00020548	0.02173219
-0.00019703	-0.00210750	-0.00651800	0.01067678
-0.00218020	-0.00092703	-0.00653300	0.03245464
-0.00217359	0.00251488	-0.00690336	0.01824640
0.00065053	0.00389861	-0.00348858	0.01752259
0.00370781	0.00195364	0.00424739	0.01141523
0.00406593	-0.00140705	-0.01431340	0.02365257
0.00190287	-0.00419755	0.00408355	0.01204369
-0.00165777	-0.00326808	0.00684842	0.01837608
-0.00298479	-0.00092044	0.00618255	0.02114574
-0.00190099	0.00156860	-0.00996338	0.01864278
0.00043055	0.00175677	-0.00203833	0.01596032
0.00148105	0.00023783	0.00592044	0.00417405
0.00047994	-0.00095665	0.00630791	0.01826224
-0.00046438	-0.00044926	-0.00715124	0.03074008
0.00018910	0.00086981	-0.01059309	0.02934117
0.00178694	0.00092107	0.01070555	0.02205774
0.00264915	-0.00093416	-0.00240337	0.01496976
0.00163039	-0.00321408	0.01139624	0.02171015
-0.00104893	-0.00386296	0.00247137	0.01678678
-0.00311557	-0.00168482	-0.00117391	0.01448665
-0.00263472	0.00057183	-0.00373483	0.03242861
-0.00079574	0.00231613	-0.01202356	0.02360317
0.00045849	0.00162239	-0.00361245	0.01734417
0.00124861	0.00028470	-0.00745325	0.01162596
0.00053102	-0.00053311	0.00085934	0.01934321
-0.00015025	-0.00019759	-0.00009924	0.01482791
0.00060610	0.00058873	0.00490601	0.02762007
0.00143479	0.00032406	-0.01029875	0.03372673
0.00112319	-0.00114093	0.00720957	0.02932187
0.00002810	-0.00212795	0.00389784	0.01318193
-0.00161970	-0.00129633	0.00320574	0.02487304
-0.00123172	0.00103508	0.00483622	0.02946882
0.00057059	0.00214097	0.00090509	0.02484705
0.00307167	0.00080153	0.00552706	0.02841320
0.00313966	-0.00215031	0.00170674	0.03333451
0.00061914	-0.00428318	-0.00182381	0.02039014
-0.00221219	-0.00380096	-0.00397352	0.02203796
-0.00334850	-0.00134152	-0.00638033	0.02227061
-0.00265938	0.00125141	0.00115117	0.02576028
-0.00053949	0.00209105	-0.00309527	0.02804814
0.00035881	0.00111104	-0.01402013	0.02862701
0.00010395	-0.00006871	0.00178485	0.02222669
-0.00057924	0.00047018	-0.00450104	0.02305551
-0.00033523	0.00166885	0.00843715	0.02971829
0.00124487	0.00221833	0.00070044	0.02072971
0.00277184	0.00070246	0.00641955	0.03264450
0.00281127	-0.00184318	-0.00939962	0.02305453
0.00053754	-0.00329759	0.00599104	0.02021566
-0.00265591	-0.00238427	0.00568606	0.02981225
-0.00389416	0.00010519	0.00560339	0.02906085
-0.00188431	0.00268926	-0.00932469	0.01977985
0.00050556	0.00258406	-0.00058075	0.02169446
0.00210485	0.00119373	0.00720066	0.01994540
0.00112804	-0.00123497	0.00034956	0.02729761
-0.00031684	-0.00154285	0.00331876	0.03056510
-0.00129838	-0.00057487	-0.00192842	0.02662960
-0.00083239	0.00086949	-0.01141701	0.03449710
0.00029784	0.00038934	0.00457933	0.02854208
0.00055521	-0.00044310	-0.00726114	0.02582318
-0.00064870	-0.00096690	0.00225296	0.04429803
-0.00185761	-0.00034995	0.01141879	0.03203116
-0.00138965	0.00113412	0.00356491	0.03800779
-0.00032158	0.00169827	-0.00621277	0.03067320
0.00079930	0.00120129	0.01328500	0.02802719
0.00111962	0.00018318	0.00520756	0.03155072
0.00014433	-0.00070047	-0.00700558	0.03851952
-0.00077365	-0.00054661	0.00153533	0.03070652
-0.00134278	0.00034731	0.01218535	0.03275193
-0.00080690	0.00109949	0.00449589	0.02338949
-0.00012619	0.00119600	0.00885692	0.02719279
0.00042891	0.00066504	-0.00098992	0.04033527
-0.00004731	0.00054060	0.01370358	0.03115050
-0.00025464	0.00074905	0.00324237	0.02666297
0.00067485	0.00099742	0.00695339	0.03582683
0.00114676	0.00034239	0.00077840	0.03949164
0.00101065	-0.00086899	-0.00433393	0.03280461
-0.00007669	-0.00127941	-0.00961173	0.02336819
-0.00155421	-0.00099763	0.01215340	0.03569001
-0.00233524	0.00042402	0.01981417	0.02731849
-0.00115296	0.00171653	0.00006426	0.03023127
0.00010389	0.00147310	0.00273169	0.03235498
0.00059132	0.00031166	0.01496658	0.03334259
-0.00001670	-0.00009166	0.01532247	0.01136168
-0.00110781	0.00000258	0.00177592	0.02419507
-0.00150812	0.00164885	0.00789856	0.02818077
-0.00042657	0.00261991	0.00842730	0.04418060
0.00098525	0.00242346	0.00938185	0.02264960
0.00174273	0.00041823	0.00676719	0.03013854
0.00109184	-0.00041035	0.00508676	0.02662364
-0.00002792	-0.00033619	0.00101352	0.03687818
-0.00047249	0.00040916	-0.00342451	0.03499412
-0.00006036	0.00100238	-0.00146185	0.02302064
0.00066179	0.00072780	-0.00066634	0.02877096
0.00072885	-0.00032836	0.00898745	0.02223959
-0.00031417	-0.00096041	0.00003621	0.03459250
-0.00164551	-0.00035278	0.00506919	0.01623689
-0.00174787	0.00099349	-0.00619438	0.02969923
-0.00061730	0.00224743	0.00607267	0.02762030
0.00049812	0.00194283	0.00827288	0.03813320
0.00154620	0.00088259	-0.00340882	0.02400425
0.00103598	-0.00039674	-0.00929622	0.03629407
0.00000329	-0.00054814	0.00600697	0.03378208
-0.00057497	0.00003704	0.00089031	0.03375978
-0.00043788	0.00079762	0.00338644	0.02299075
0.00048926	0.00058527	0.00713795	0.04325473
0.00035216	-0.00010897	-0.00589465	0.04113913
-0.00002839	-0.00029585	0.01135394	0.03645949
-0.00069953	0.00046709	-0.00072199	0.03028694
-0.00036872	0.00123187	0.00074394	0.02665481
0.00046383	0.00148584	-0.00216401	0.03866168
0.00119263	0.00077784	0.00170130	0.03614964
0.00075994	-0.00039151	0.00133018	0.03708625
-0.00008592	-0.00094675	0.00210394	0.03165765
-0.00039250	-0.00030524	-0.00982860	0.02436565
-0.00078494	0.00039172	-0.00194155	0.04194356
-0.00042049	0.00064974	-0.01733196	0.02908713
0.00000025	0.00089548	0.00927235	0.03757585
0.00026496	0.00000510	0.02007031	0.03726012
0.00018803	0.00015752	0.00241603	0.02830894
0.00017896	0.00057580	-0.00565035	0.03834462
0.00088348	0.00046287	-0.00377527	0.04430625
0.00140888	-0.00009131	-0.00048687	0.03476470
0.00071739	-0.00103598	-0.01313324	0.03829979
-0.00016837	-0.00154595	0.00121109	0.02473914
-0.00105621	-0.00079077	0.00010487	0.03126875
-0.00147799	0.00044186	0.00374943	0.02886983
-0.00086798	0.00147694	0.01096826	0.04803228
0.00059448	0.00119547	-0.00174781	0.04662311
0.00114164	0.00013551	-0.01212212	0.03774665
0.00063860	-0.00074951	-0.00399992	0.03125292
0.00024061	-0.00058560	0.00857433	0.03020682
-0.00035948	0.00000425	0.01457146	0.03584417
-0.00003429	0.00037089	0.00912415	0.04106419
0.00040897	0.00020645	-0.00114841	0.04542371
0.00041673	-0.00054478	0.00739639	0.03656692
-0.00036116	-0.00088704	0.00240414	0.03949294
-0.00108616	-0.00039254	0.00631497	0.03587590
-0.00108499	0.00033900	0.00470908	0.03541441
-0.00006569	0.00092243	0.01932361	0.04162273
0.00086444	0.00067671	0.00404169	0.05454546
0.00089094	-0.00055453	0.00098812	0.02707829
0.00005017	-0.00127304	0.00475981	0.03020612
-0.00095752	-0.00076037	0.00248896	0.03646701
-0.00145171	-0.00002789	0.00150371	0.03903392
-0.00064355	0.00072996	0.00940662	0.03359193
0.00020118	0.00034932	0.00288793	0.03690986
0.00060160	-0.00021817	0.01042233	0.03801361
-0.00013809	-0.00035923	0.00039776	0.03980610
-0.00043392	-0.00009209	0.00174632	0.04950913
-0.00041471	0.00034440	0.00866158	0.03372757
0.00037159	0.00084929	0.00548326	0.04494115
0.00096379	0.00000390	-0.00442580	0.03619061
0.00045167	-0.00093728	0.01274877	0.04390010
0.00007541	-0.00103386	0.00916617	0.03748650
-0.00115837	-0.00060418	0.01348615	0.02307035
-0.00082708	-0.00033630	0.00566693	0.04772719
-0.00014850	0.00057532	-0.00722132	0.03622546
0.00004778	0.00018285	0.01093715	0.04119689
0.00030476	-0.00061711	0.00570868	0.04044724
-0.00013415	-0.00075335	-0.00108842	0.03427946
-0.00052009	-0.00056267	-0.00174349	0.02912204
-0.00087243	-0.00009545	0.00708243	0.04311270
-0.00027702	0.00008358	-0.00099238	0.04139205
-0.00004146	0.00005368	0.00184761	0.03856435
0.00025450	-0.00006228	0.00286905	0.05246678
