jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/sdat/UnEdited/derivatives/jMRUIFiles/mrs_sub-01_ses-01_press-ref_sub-01_PRESS_35_ref_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 1.277509E+08
MagneticField: 3.000467E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5.34548689	-0.20099156	0.33130393	1.53023190
5.28001106	-0.20055740	0.32634590	1.56785962
5.21282677	-0.20000746	0.32408035	1.55481186
5.14430806	-0.19935426	0.32955581	1.56077333
5.07556343	-0.19863965	0.32720655	1.56036607
5.00956625	-0.19798087	0.32647381	1.61017700
4.94454859	-0.19731054	0.31516191	1.60129570
4.88646503	-0.19686968	0.33517485	1.61927013
4.82520001	-0.19625486	0.33936501	1.63884127
4.76076347	-0.19546282	0.32899624	1.68125885
4.69904719	-0.19473406	0.34373911	1.66438207
4.63092790	-0.19369013	0.34093142	1.67246005
4.57046667	-0.19291717	0.34163589	1.68243656
4.51251502	-0.19220470	0.32937217	1.68267066
4.46191611	-0.19176376	0.31570844	1.72163788
4.40357856	-0.19094843	0.32123240	1.74499852
4.34521804	-0.19008733	0.34383891	1.72980627
4.28828864	-0.18924459	0.31487228	1.74628380
4.23115392	-0.18834902	0.29282705	1.76684125
4.17846407	-0.18760916	0.32525517	1.78129265
4.12379093	-0.18673906	0.31834528	1.81376312
4.06946651	-0.18584291	0.29557420	1.82348205
4.01507424	-0.18490195	0.29238946	1.83577928
3.96302011	-0.18402780	0.32179924	1.89023843
3.91824613	-0.18345456	0.34861779	1.88603698
3.87189357	-0.18277244	0.32295739	1.88453171
3.82093912	-0.18183575	0.33834274	1.89637238
3.76855028	-0.18079112	0.31026814	1.92223956
3.71814037	-0.17980197	0.33068890	1.92906669
3.66891280	-0.17883175	0.34661638	1.97356124
3.62091301	-0.17788405	0.34396551	1.99572032
3.57835862	-0.17716911	0.34774444	1.99562999
3.53129219	-0.17619637	0.34717162	2.01569327
3.48564370	-0.17525878	0.34709913	2.03270680
3.43719266	-0.17414416	0.35944621	2.07382267
3.39183156	-0.17315007	0.34368080	2.08152811
3.35070625	-0.17233902	0.36520573	2.07695147
3.31095900	-0.17156779	0.37429844	2.11191238
3.26756709	-0.17057579	0.37653423	2.08643540
3.22341701	-0.16951059	0.33289570	2.10181684
3.17933594	-0.16841515	0.34507538	2.11440528
3.13871803	-0.16747063	0.32956081	2.13575976
3.10156396	-0.16668107	0.32281298	2.18103525
3.06613923	-0.16595658	0.32574756	2.18172558
3.02578063	-0.16493594	0.34781845	2.18098609
2.98735558	-0.16399045	0.31238816	2.25543356
2.94393711	-0.16273941	0.32883944	2.24671350
2.90464898	-0.16168493	0.37046920	2.25830156
2.86452162	-0.16055323	0.34752413	2.29407923
2.82946926	-0.15967710	0.38253987	2.29480963
2.79340723	-0.15871669	0.39791788	2.33075963
2.75676530	-0.15769540	0.37805025	2.34284309
2.72114560	-0.15670483	0.36797523	2.29170163
2.68585530	-0.15570599	0.40379845	2.32298685
2.65559298	-0.15497345	0.37313603	2.34328796
2.62179029	-0.15400971	0.35564352	2.33510359
2.58717821	-0.15297213	0.37470025	2.35548289
2.55182047	-0.15186359	0.32650086	2.37914283
2.51746338	-0.15078781	0.35669228	2.41494162
2.48214554	-0.14962772	0.35355891	2.43713629
2.44897118	-0.14857052	0.37899106	2.43291020
2.42206795	-0.14787068	0.37913480	2.45860753
2.39065205	-0.14687294	0.36612578	2.47473600
2.35800343	-0.14577485	0.36854196	2.51444244
2.32617885	-0.14470292	0.37532285	2.50658487
2.29346544	-0.14355090	0.36516126	2.53925082
2.26659284	-0.14274156	0.37957995	2.52213788
2.23686368	-0.14173058	0.38101521	2.57159871
2.20668081	-0.14066782	0.36327574	2.57422270
2.17783296	-0.13966748	0.37883381	2.58803673
2.15104792	-0.13877805	0.38867234	2.58470979
2.12263420	-0.13776232	0.39048065	2.59314878
2.09562480	-0.13681644	0.39025044	2.62972200
2.06747464	-0.13577487	0.38505784	2.66706529
2.03894311	-0.13468647	0.36796823	2.65263547
2.01286819	-0.13373935	0.38669205	2.69770093
1.98273249	-0.13250082	0.39207421	2.69753761
1.95652337	-0.13150302	0.37191596	2.73673715
1.93099662	-0.13053119	0.40076189	2.73423795
1.90542370	-0.12953660	0.36056343	2.73376503
1.88131770	-0.12862263	0.39851331	2.76507812
1.85547697	-0.12757085	0.40016488	2.76929092
1.83159197	-0.12663441	0.38702103	2.79227755
1.80612339	-0.12556951	0.40091615	2.82355582
1.78416748	-0.12473059	0.39819645	2.83222603
1.76114475	-0.12379978	0.43011300	2.85483446
1.73582158	-0.12268868	0.43118446	2.85375588
1.70961509	-0.12149531	0.44044041	2.88032525
1.68511322	-0.12040358	0.43211766	2.89120140
1.66319854	-0.11947885	0.41898358	2.89706646
1.64240560	-0.11861827	0.42825623	2.91144002
1.62019166	-0.11763853	0.42803059	2.93111902
1.59615386	-0.11650856	0.38710729	2.95557711
1.57400786	-0.11549890	0.41048024	2.96586593
1.55002280	-0.11433655	0.41242940	2.98475181
1.52860512	-0.11334611	0.41311918	2.98843299
1.50850316	-0.11243725	0.40480228	3.01055295
1.48778452	-0.11146671	0.39972514	3.00587383
1.46619587	-0.11041472	0.42198595	3.04244480
1.44638654	-0.10948078	0.43093404	3.07047592
1.42555571	-0.10845388	0.43086461	3.08730948
1.40572460	-0.10748739	0.41211314	3.10618806
1.38699083	-0.10658996	0.41498280	3.12888573
1.36733296	-0.10560673	0.44063371	3.15102964
1.34825835	-0.10465365	0.45377056	3.16954476
1.32789724	-0.10358552	0.43503882	3.18284033
1.30867215	-0.10259076	0.44145072	3.18896896
1.28997142	-0.10162251	0.45520465	3.19316846
1.27189180	-0.10068902	0.45515422	3.20899407
1.25330674	-0.09970140	0.45397189	3.23045625
1.23591842	-0.09879513	0.43804941	3.24695909
1.21723409	-0.09777137	0.44907393	3.24000503
1.20229049	-0.09703512	0.48430176	3.28048328
1.18613861	-0.09618938	0.44609694	3.29344737
1.16800062	-0.09516937	0.42182330	3.32179803
1.15004144	-0.09415003	0.46864319	3.33814220
1.13336828	-0.09322262	0.46016676	3.33094157
1.11626369	-0.09224671	0.44910670	3.33774209
1.09942687	-0.09127986	0.45591287	3.36812216
1.08601961	-0.09058609	0.45927061	3.37718675
1.07061095	-0.08971428	0.47717178	3.41128712
1.05439329	-0.08876249	0.46720256	3.41559241
1.03935063	-0.08789757	0.45301514	3.42056641
1.02353927	-0.08695575	0.45569942	3.47162829
1.00820655	-0.08604259	0.45707995	3.47287429
0.99383391	-0.08519991	0.47959333	3.49850326
0.98130105	-0.08450459	0.46219621	3.51251574
0.96835072	-0.08376350	0.47789751	3.51186966
0.95359399	-0.08285547	0.45374693	3.54993714
0.94032060	-0.08206552	0.46451651	3.55592480
0.92729277	-0.08128687	0.48496678	3.59492101
0.91376234	-0.08045391	0.49790148	3.61651790
0.90141718	-0.07971534	0.49203933	3.61843316
0.88631518	-0.07872239	0.47107339	3.61366867
0.87305436	-0.07788203	0.48770994	3.65624138
0.85923437	-0.07698134	0.50988421	3.65735017
0.84784952	-0.07628911	0.46566364	3.67095898
0.83637650	-0.07558012	0.47982065	3.68894316
0.82437955	-0.07481474	0.49261704	3.69591349
0.81206100	-0.07401080	0.50200268	3.74094984
0.79884664	-0.07311536	0.49567944	3.71051590
0.78784324	-0.07241294	0.52418144	3.74525333
0.77492617	-0.07152539	0.50213318	3.75917480
0.76326264	-0.07074406	0.49320938	3.76420009
0.75263325	-0.07004999	0.51203646	3.78794244
0.74186141	-0.06933439	0.50556326	3.80125399
0.73152459	-0.06865131	0.49935665	3.78621431
0.72098093	-0.06794076	0.50134050	3.83273451
0.71001835	-0.06718243	0.47065055	3.84671076
0.70055341	-0.06655792	0.50501223	3.86676489
0.69124448	-0.06594100	0.49055870	3.88971311
0.68028422	-0.06515872	0.50630774	3.91090129
0.66922618	-0.06435857	0.51985923	3.92257163
0.65942255	-0.06367100	0.49632457	3.96201560
0.64851012	-0.06286837	0.48827834	3.96796875
